iteration	bootstrap_eligible_genes	selected_complete_pattern_genes	frozen_37_selected	natural_design_attempts
578	10589	39	33	1
579	10589	46	25	1
580	10589	37	27	1
581	10589	47	22	1
582	10589	29	12	2
583	10589	38	33	1
584	10589	53	18	2
585	10589	37	14	1
586	10589	37	14	4
587	10589	29	11	2
588	10589	36	22	1
589	10589	36	15	1
590	10589	51	29	2
591	10589	24	18	1
592	10589	39	14	1
593	10589	30	12	2
594	10589	42	27	1
595	10589	33	15	1
596	10589	33	17	2
597	10589	34	28	1
598	10589	39	26	1
599	10589	46	30	1
600	10589	34	27	1
601	10589	26	14	1
602	10589	43	25	1
603	10589	39	24	1
604	10589	35	13	1
605	10589	41	20	4
606	10589	36	14	2
607	10589	37	29	1
608	10589	38	26	1
609	10589	35	14	2
610	10589	30	11	2
611	10589	36	23	1
612	10589	53	24	4
613	10589	47	30	2
614	10589	31	19	1
615	10589	33	21	1
616	10589	58	25	1
617	10589	36	14	1
618	10589	45	24	2
619	10589	51	22	3
620	10589	36	26	2
621	10589	36	25	1
622	10589	43	32	1
623	10589	34	28	2
624	10589	40	28	2
625	10589	36	15	1
626	10589	35	13	1
627	10589	45	25	2
628	10589	32	27	2
629	10589	40	34	2
630	10589	39	33	1
631	10589	32	12	1
632	10589	52	21	1
633	10589	29	11	1
634	10589	38	31	2
635	10589	47	31	1
636	10589	40	13	1
637	10589	39	22	1
638	10589	34	30	3
639	10589	39	14	2
640	10589	38	25	1
641	10589	30	12	1
642	10589	23	12	1
643	10589	46	29	1
644	10589	34	21	2
645	10589	44	32	1
646	10589	47	31	1
647	10589	40	34	1
648	10589	37	24	2
649	10589	32	16	3
650	10589	32	20	1
651	10589	41	25	1
652	10589	38	27	1
653	10589	48	23	1
654	10589	30	12	3
655	10589	34	25	2
656	10589	36	13	3
657	10589	38	26	1
658	10589	36	18	2
659	10589	34	25	1
660	10589	47	30	1
661	10589	34	25	2
662	10589	42	25	2
663	10589	38	31	1
664	10589	55	24	1
665	10589	57	25	2
666	10589	36	24	1
667	10589	45	24	1
668	10589	42	27	2
669	10589	39	33	2
670	10589	45	27	2
671	10589	37	13	1
672	10589	27	9	1
673	10589	45	27	1
674	10589	38	31	1
675	10589	40	34	1
676	10589	41	25	1
677	10589	46	28	1
678	10589	35	13	2
679	10589	41	25	3
680	10589	41	26	1
681	10589	38	26	1
682	10589	47	31	2
683	10589	37	30	2
684	10589	41	16	1
685	10589	38	27	2
686	10589	43	26	2
687	10589	37	24	1
688	10589	29	11	1
689	10589	44	32	2
690	10589	36	24	1
691	10589	43	31	3
692	10589	45	27	1
693	10589	32	23	1
694	10589	35	14	1
695	10589	39	33	3
696	10589	37	31	3
697	10589	47	31	1
698	10589	42	12	2
699	10589	38	25	1
700	10589	39	16	1
701	10589	45	24	5
702	10589	38	24	3
703	10589	36	26	1
704	10589	40	34	2
705	10589	32	24	1
706	10589	42	24	4
707	10589	36	26	2
708	10589	49	26	2
709	10589	29	11	1
710	10589	43	26	1
711	10589	41	29	1
712	10589	41	12	1
713	10589	60	27	1
714	10589	34	25	1
715	10589	32	13	3
716	10589	41	24	1
717	10589	35	13	2
718	10589	46	28	1
719	10589	41	25	2
720	10589	49	27	1
721	10589	39	24	1
722	10589	44	28	3
723	10589	35	29	1
724	10589	36	23	1
725	10589	41	26	1
726	10589	31	11	1
727	10589	40	24	2
728	10589	35	21	1
729	10589	32	17	1
730	10589	34	25	2
731	10589	41	25	1
732	10589	37	16	3
733	10589	33	17	1
734	10589	32	12	1
735	10589	40	34	1
736	10589	28	12	1
737	10589	43	31	2
738	10589	33	12	1
739	10589	37	29	1
740	10589	29	24	1
741	10589	40	25	1
742	10589	35	13	1
743	10589	44	23	1
744	10589	47	31	1
745	10589	56	24	1
746	10589	38	25	1
747	10589	34	25	1
748	10589	46	29	1
749	10589	47	31	2
750	10589	38	28	2
751	10589	57	21	1
752	10589	28	14	3
753	10589	48	30	2
754	10589	39	26	1
755	10589	38	31	1
756	10589	31	11	1
757	10589	27	11	2
758	10589	33	22	1
759	10589	36	15	4
760	10589	34	25	4
761	10589	36	26	1
762	10589	34	25	1
763	10589	37	31	1
764	10589	33	12	1
765	10589	26	14	3
766	10589	34	25	1
767	10589	43	26	1
768	10589	33	24	1
769	10589	31	26	2
770	10589	29	22	2
771	10589	47	31	2
772	10589	29	11	2
773	10589	27	10	2
774	10589	39	23	1
775	10589	29	11	4
776	10589	41	25	2
777	10589	38	26	1
778	10589	30	13	2
779	10589	26	14	1
780	10589	33	13	1
781	10589	43	31	1
782	10589	30	18	2
783	10589	26	12	1
784	10589	37	26	2
785	10589	39	16	2
786	10589	41	25	2
787	10589	37	31	1
788	10589	27	18	1
789	10589	34	25	3
790	10589	30	12	1
791	10589	51	29	1
792	10589	42	29	1
793	10589	44	12	1
794	10589	44	32	2
795	10589	38	31	2
796	10589	51	29	1
797	10589	31	24	1
798	10589	34	21	1
799	10589	32	23	1
800	10589	43	26	4
801	10589	39	24	1
802	10589	33	13	1
803	10589	47	31	1
804	10589	44	26	1
805	10589	47	22	1
806	10589	42	23	4
807	10589	31	20	1
808	10589	43	26	1
809	10589	36	24	1
810	10589	38	14	1
811	10589	32	13	1
812	10589	47	31	2
813	10589	38	27	2
814	10589	30	22	1
815	10589	54	22	1
816	10589	39	26	2
817	10589	43	32	3
818	10589	38	22	1
819	10589	38	32	2
820	10589	45	24	1
821	10589	35	14	2
822	10589	33	28	3
823	10589	42	24	3
824	10589	38	31	1
825	10589	32	15	2
826	10589	35	23	1
827	10589	26	14	2
828	10589	41	26	2
829	10589	42	27	3
830	10589	45	24	1
831	10589	45	23	2
832	10589	41	25	5
833	10589	36	23	4
834	10589	32	12	1
835	10589	33	27	2
836	10589	42	23	1
837	10589	40	24	3
838	10589	33	17	2
839	10589	34	25	1
840	10589	57	25	1
841	10589	42	20	1
842	10589	43	26	1
843	10589	38	22	1
844	10589	35	22	1
845	10589	38	11	1
846	10589	47	25	1
847	10589	40	34	1
848	10589	37	21	1
849	10589	44	32	1
850	10589	39	29	1
851	10589	31	19	1
852	10589	39	26	1
853	10589	27	8	1
854	10589	32	16	1
855	10589	38	16	1
856	10589	42	30	1
857	10589	44	32	1
858	10589	35	21	1
859	10589	58	24	3
860	10589	39	34	2
861	10589	46	28	1
862	10589	42	29	3
863	10589	48	28	2
864	10589	37	25	2
865	10589	36	24	2
866	10589	36	28	1
867	10589	41	25	1
868	10589	52	23	1
869	10589	46	28	3
870	10589	46	30	3
871	10589	45	27	1
872	10589	46	28	1
873	10589	26	14	2
874	10589	42	24	2
875	10589	37	26	1
876	10589	59	25	1
877	10589	48	23	2
878	10589	36	23	1
879	10589	36	14	1
880	10589	32	17	2
881	10589	40	34	1
882	10589	42	29	2
883	10589	27	9	1
884	10589	59	26	2
885	10589	48	28	4
886	10589	29	11	1
887	10589	59	25	2
888	10589	36	29	1
889	10589	41	25	1
890	10589	30	16	1
891	10589	36	29	2
892	10589	46	30	1
893	10589	33	13	1
894	10589	41	25	1
895	10589	42	23	3
896	10589	40	21	1
897	10589	57	21	2
898	10589	43	25	1
899	10589	46	28	1
900	10589	30	13	1
901	10589	29	11	1
902	10589	41	25	1
903	10589	32	16	1
904	10589	58	25	1
905	10589	39	25	2
906	10589	44	32	3
907	10589	30	12	1
908	10589	41	12	4
909	10589	56	21	1
910	10589	39	26	1
911	10589	33	12	2
912	10589	32	16	1
913	10589	36	23	1
914	10589	38	29	1
915	10589	42	24	1
916	10589	49	26	1
917	10589	42	29	2
918	10589	43	27	1
919	10589	57	25	1
920	10589	57	25	1
921	10589	33	12	1
922	10589	39	26	1
923	10589	39	26	1
924	10589	36	23	2
925	10589	36	23	8
926	10589	45	24	2
927	10589	30	23	4
928	10589	39	24	1
929	10589	26	14	1
930	10589	34	25	2
931	10589	42	23	3
932	10589	26	14	4
933	10589	30	12	5
934	10589	43	27	2
935	10589	33	13	1
936	10589	41	25	1
937	10589	45	26	1
938	10589	30	10	1
939	10589	32	13	1
940	10589	40	25	2
941	10589	39	29	2
942	10589	39	16	1
943	10589	36	15	1
944	10589	46	28	3
945	10589	45	24	2
946	10589	32	11	1
947	10589	25	11	1
948	10589	35	23	3
949	10589	33	24	2
950	10589	31	16	2
951	10589	34	13	1
952	10589	47	25	2
953	10589	41	25	1
954	10589	36	29	5
955	10589	46	24	1
956	10589	42	27	2
957	10589	36	25	1
958	10589	37	21	2
959	10589	38	28	1
960	10589	30	12	1
961	10589	45	28	1
962	10589	57	21	1
963	10589	41	25	1
964	10589	37	23	1
965	10589	30	12	2
966	10589	44	32	2
967	10589	42	29	1
968	10589	37	30	1
969	10589	37	14	1
970	10589	45	24	1
971	10589	38	27	3
972	10589	36	23	3
973	10589	33	17	2
974	10589	42	29	1
975	10589	41	29	1
976	10589	36	15	1
977	10589	39	29	1
978	10589	38	27	2
979	10589	56	24	3
980	10589	40	24	1
981	10589	39	29	1
982	10589	38	27	2
983	10589	46	31	1
984	10589	47	29	1
985	10589	41	12	2
986	10589	36	23	3
987	10589	37	25	2
988	10589	45	15	3
989	10589	34	25	2
990	10589	38	31	1
991	10589	35	28	1
992	10589	33	12	1
993	10589	45	19	2
994	10589	48	27	2
995	10589	41	28	1
996	10589	35	14	2
997	10589	39	26	2
998	10589	28	9	1
999	10589	41	24	1
1000	10589	47	23	1
